70134,0,2,18,15,3,24,20,52,21,15,15,3,2,14,1,12,3,23,18,22
98906,0,64,6,2,3,14,15,6,64,2,18,13,1,1,12,12,3,3,26,26
1.8768e+05,0,21,9,3,15,14,2,13,1,12,3,27,23,18,9,20,15,11,3,14
1.2398e+05,0,14,3,15,2,13,1,12,3,26,23,10,12,3,18,9,12,9,9,6
77108,0,18,9,3,15,2,12,9,9,3,9,3,15,12,5,12,12,9,12,2
75990,1,6,3,25,25,9,3,3,6,6,3,2,9,3,3,25,25,15,12,18
71272,0,2,2,2,3,3,12,12,9,12,9,18,14,3,15,2,13,1,12,3
1.1062e+05,0,12,6,9,12,3,9,9,12,9,12,18,12,15,64,12,9,12,12,9
1.9364e+05,0,3,15,15,3,15,3,15,15,13,12,9,3,15,14,2,18,13,1,12
2.0462e+05,0,18,18,12,9,3,15,14,2,3,1,12,3,27,23,18,9,12,3,9
1.0186e+05,0,3,17,12,17,12,12,15,12,17,12,17,17,12,3,18,17,21,12,3
31757,0,15,64,13,6,12,3,9,21,12,15,18,12,3,9,18,2,9,9,9
95833,0,80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11810,0,3,15,15,27,2,14,15,21,2,2,2,2,2,2,2,2,2,2,2
1.0365e+05,0,3,14,2,15,13,18,15,12,12,2,18,15,12,18,12,15,9,3,2
2.0235e+05,1,9,18,12,15,3,15,2,14,18,1,12,18,15,12,23,18,9,11,3
1.0887e+05,0,6,15,3,6,2,9,15,9,2,15,9,8,1,15,8,8,13,15,15
1.259e+05,0,2,12,21,14,12,2,12,2,12,2,12,2,12,3,15,14,2,21,12
79474,0,1,8,15,9,21,8,9,15,8,1,8,3,15,14,2,13,12,3,26
67695,0,64,6,18,12,9,3,9,12,9,9,3,12,3,3,25,25,3,3,9
86012,0,3,12,9,12,3,12,9,12,9,2,9,2,9,12,64,9,12,15,12
1.4695e+05,0,64,6,64,6,64,6,64,6,265,21,3,14,8,9,8,15,8,1,8
53341,0,18,15,12,15,15,12,9,9,3,21,3,20,24,14,21,9,9,9,18
35155,0,3,8,8,9,1,15,8,3,2,14,9,8,18,15,8,1,13,8,1
1.2999e+05,0,18,3,12,3,15,14,2,18,12,3,28,8,9,8,15,8,1,15,8
1.064e+05,0,18,36,18,9,9,18,18,18,18,15,15,21,15,3,15,18,15,18,2
1.4002e+05,0,9,9,12,9,15,3,15,15,3,15,2,2,2,37,2,2,2,2,2
48662,0,2,2,2,2,2,2,2,2,15,14,13,1,15,13,9,15,13,1,9
6740,0,9,12,12,3,21,3,9,12,3,14,9,9,15,12,3,2,1,12,3
1.6658e+05,0,2,9,12,12,6,3,64,2,9,12,9,12,3,9,9,9,3,14,15
2.1109e+05,0,3,3,15,15,14,14,2,2,18,13,13,13,1,1,12,12,12,3,28
1.4211e+05,0,381,3,14,15,2,18,13,1,3,28,26,23,18,9,15,11,3,2,2
56317,0,15,18,15,64,12,64,15,3,12,9,12,12,6,25,3,9,3,25,18
1.0192e+05,0,12,15,12,15,18,15,3,12,17,12,17,12,17,12,17,17,12,12,18
68192,0,18,18,18,15,3,2,14,18,18,1,12,3,28,18,23,18,22,18,26
17133,0,3,15,14,2,13,18,1,12,13,14,15,2,18,1,12,3,27,26,23
55693,0,18,9,6,64,15,14,14,3,14,15,2,13,3,2,15,18,13,15,3
86780,0,9,3,6,25,18,18,18,15,21,21,2,18,12,15,9,3,3,21,12
57520,0,2,64,18,18,12,15,15,12,18,15,15,3,18,15,12,18,12,15,12
1.7516e+05,0,15,14,3,2,13,12,3,27,26,23,3,2,14,18,12,15,18,12,15
26233,0,3,9,12,1,18,20,15,11,14,3,2,12,18,64,18,18,2,21,21
1.786e+05,0,15,12,18,15,12,18,18,15,12,18,15,12,18,15,12,12,15,18,18
89631,1,9,3,15,15,18,12,8,12,3,9,15,15,15,9,6,64,18,18,2
1.7545e+05,0,21,2,12,21,12,9,3,21,9,3,3,14,2,18,12,2,18,12,9
1.9265e+05,0,15,3,9,9,12,9,12,2,12,12,21,3,14,6,3,3,9,25,25
1.2529e+05,0,8,1,8,9,8,1,15,8,8,15,8,9,8,1,12,8,3,8,15
1.1112e+05,0,15,15,15,11,3,3,3,14,14,2,2,2,12,18,12,64,6,18,18
28476,0,1,8,15,9,15,103,12,9,12,14,2,13,18,1,12,3,26,23,18
1.9655e+05,0,3,15,2,14,18,12,3,23,5,18,9,11,3,2,14,15,3,2,18
75469,0,3,14,15,2,13,12,3,28,18,11,3,2,14,9,9,9,9,3,12
25509,0,18,18,18,18,12,3,26,10,18,15,11,3,2,14,14,3,15,13,18
1.0951e+05,1,12,3,2,9,14,15,2,18,1,12,3,28,26,23,22,18,11,3,2
