46,6.3315e+05,0.14333,0.098333,0.10333,0.66,0.115,0.99167,0.24,1,0.96,0.10333,0.18833,0.096667,0.096667,0.098333,0.10333,1,0.34833,0.12833,0.12
47,9.3726e+05,0.02875,0.02375,0.024167,0.024583,0.022917,0.02375,0.025,0.0325,0.18958,0.026667,1,0.024583,0.072083,0.023333,1,0.032917,0.024167,0.0275,0.02625
48,3.352e+06,0.098333,1,0.10667,0.10333,0.105,1,0.81833,0.17167,1.0083,1.3383,0.68167,0.19833,0.13333,0.15167,0.55333,1,0.25833,0.096667,0.82667
49,8.0981e+06,0.0575,0.065833,1,0.13833,1,1,0.05,0.049167,1,0.1175,0.074167,1,0.0475,1,0.05,1,0.063333,0.115,0.071667
50,5.0492e+06,0.10167,0.096667,0.105,1,0.14,0.15,0.155,0.33833,0.185,0.10333,0.17,1,0.16667,1.0633,0.17833,0.32,1,1,1
51,3.4976e+06,1,0.10667,0.11,0.29333,1.9233,1,1,0.145,0.125,0.445,1.4717,0.50667,1,0.115,0.915,1,0.65167,1,1
52,6.7104e+05,0.94944,0.052222,0.047778,0.033333,0.035,0.05,0.055556,0.077222,0.050556,0.043889,0.95333,0.10556,0.12611,0.046111,0.11444,0.035,0.16889,0.043333,0.050556
53,3.0382e+06,0.075833,0.21833,0.056667,0.0575,1,1,0.045833,0.2475,1,0.046667,0.0525,1,0.0475,1,1,0.050833,0.05,0.051667,0.044167
54,2.9378e+06,0.098333,0.095,1,0.17333,1.0267,1,0.095,1,0.11833,0.11167,0.16333,1,0.275,0.093333,0.096667,0.105,0.15167,0.67833,0.095
57,97327,0.091667,0.105,0.125,0.1,0.091667,0.086667,0.76333,0.095,0.33,0.1,0.40667,0.10333,0.105,0.10333,1,0.098333,0.17,0.13333,1
58,1.9276e+07,0.093333,1.3717,0.098333,0.10167,0.36,0.17,1,0.10667,0.093333,0.09,1,0.11,0.17833,0.093333,1.4217,0.12833,0.1,0.34833,0.10833
59,4.7876e+06,0.098333,0.88667,0.10833,0.096667,1,0.12333,0.11167,0.1,1,0.11,0.11167,0.096667,0.10333,0.095,0.098333,0.095,0.1,0.096667,0.098333
60,1.1274e+06,0.53083,1,0.62167,0.215,0.1475,0.0525,0.084167,0.084167,0.064167,1,0.0975,1.1583,0.155,0.10833,0.05,0.065833,1,0.071667,0.085833
63,9.2965e+05,0.1,0.096667,0.15167,0.19,1,0.10333,0.10167,1,0.215,0.29333,0.13833,0.11333,0.47833,0.21333,1,0.088333,1,0.13833,0.085
65,4.794e+05,0.098333,0.096667,0.091667,0.30667,0.32167,0.1,0.73333,0.44833,0.12,0.77667,1,0.095,0.098333,0.1,0.093333,0.096667,1,0.15667,0.095
67,1.2744e+06,0.1,1,0.091667,0.155,0.10333,0.1,0.14,0.11833,1,1,0.21167,0.096667,0.095,0.10667,0.091667,0.71667,0.195,0.50667,1
68,3.1082e+06,1,0.098333,0.095,0.095,0.10167,0.21333,0.11,0.091667,0.095,1,1,0.11167,0.10167,1,0.31167,0.35167,0.093333,0.1,0.1
70,9.5849e+05,0.35833,0.096667,0.11333,0.1,0.10167,0.14667,0.13667,0.098333,0.095,0.1,0.098333,0.096667,0.13833,0.14833,0.11,0.10833,0.10833,0.11833,0.12667
72,1.1853e+06,0.10833,0.09,0.10833,0.093333,0.095,1,1,0.15667,0.11333,0.1,0.12,0.10667,0.098333,0.098333,0.29833,0.093333,1,0.11333,0.11
74,1.0257e+06,1,1,1,0.098333,0.095,0.32667,0.29333,0.10167,1,0.1,1,0.105,0.10833,0.19833,0.14333,1,0.22833,0.096667,1
75,7.8555e+05,0.0575,0.050833,0.053333,0.34917,0.065,0.048333,0.05,0.12667,0.05,0.10583,0.10167,0.056667,0.056667,0.051667,0.0575,0.063333,0.050833,0.065833,0.048333
76,9.2074e+05,1,0.75667,0.1,0.23167,0.38,1,0.69,1,1,0.098333,1,0.10833,0.19333,1,0.135,1,0.10333,0.098333,1
